business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
X0k5QSscuvmkJ4KSg_FRvw,Ross Dress for Less,8464 W Hillsborough Ave,Tampa,FL,33615,27.9955576,-82.5792354,2.5,17,1
hPf3hARxhNNqajMo7aoKrg,Ross Dress for Less,958 W Street Rd,Warminster,PA,18974,40.209856,-75.108797,2.5,10,1
OcrcitVhcUKR11Rr4GCrCw,Ross Dress for Less,"4825 Kietzke Ln, Fire Creek Crossing",Reno,NV,89509,39.4794547694,-119.7959211784,3.0,30,1
stiI0Uob68223WrbjyIySw,Ross Dress for Less,33165 US 19 N,Palm Harbor,FL,34684,28.0736419,-82.7371586,2.5,11,1
55NEsyt6mgvQ3L0WimvpJw,Ross Dress for Less,14941 N Florida Ave,Tampa,FL,33613,28.0865029,-82.4581819,4.5,7,1
cbAolLuAoWG9r7HSup27Rw,Ross Dress for Less,2863 Northtowne Ln,Reno,NV,89512,39.5537021,-119.7858493,1.5,8,1
YMpdvQkoAtWPjAvUQ8AB2w,Ross Dress for Less,2327 Street Rd,Bensalem,PA,19020,40.1045172,-74.9478203,2.5,13,1
uzQz0MP2RlGPO8gQdt9wnQ,Ross Dress for Less,109 E Swedesford Rd,Exton,PA,19341,40.0361789,-75.6292647,2.0,7,1
5td9jU7klOD8hi_QiTYwQw,Ross Dress for Less,3553 E Fairview Ave,Meridian,ID,83642,43.6177737,-116.3495585,3.0,5,1
--_lZuj_WCGnDG6n0emlRg,Ross Dress for Less,700 Haddonfield Berlin Rd,Voorhees,NJ,08043,39.850059405,-74.9799949796,2.0,13,1
PEIJCT5I73SmjYx2HAzcBA,Ross Dress for Less,1901 E. State Rd. 60,Valrico,FL,33594,27.9365484716,-82.255789615,3.0,17,1
SkC-BPQZKF_TqHjeMufJdg,Ross Dress for Less,7250 E Broadway Blvd,Tucson,AZ,85710,32.2195876,-110.838171,3.5,11,1
NUEZ5O_c8jKFgPQzrJqxqQ,Ross Dress for Less,4644 Lebanon Pike,Hermitage,TN,37076,36.2172243109,-86.5952942026,2.0,6,1
